food_name,view_count,food_cate,rec_season,rec_weather,rec_time
치킨양파샌드위치,10654,빵,겨울,비,저녁
피자호떡,11652,빵,겨울,비,저녁
열무된장국,14075,국/탕,겨울,비,저녁
푸실리,13931,양식,겨울,비,저녁
소세지야채볶음,96349,밑반찬,겨울,비,저녁
햄두부덮밥,32244,밥/죽/떡,겨울,비,저녁
브라우니치즈케이크,5656,빵,겨울,비,저녁
무화과닭갈비,4017,메인반찬,겨울,비,저녁
탕수만두,16721,면/만두,겨울,비,저녁
돈까스,13383,메인반찬,겨울,비,저녁
만두,8884,면/만두,겨울,비,저녁
레어치즈케이크,14647,빵,겨울,비,저녁
연근전,35011,밑반찬,겨울,비,저녁
두부지짐찌개,52881,찌개,겨울,비,저녁
마늘종볶음,172229,밑반찬,겨울,비,저녁
카레두부햄버거,3948,빵,겨울,비,저녁
오이숙장아찌,6307,밑반찬,겨울,비,저녁
감자핫케익,8905,빵,겨울,비,저녁
단호박치즈케이크,4663,빵,겨울,비,저녁
생크림얼그레이스콘,5249,빵,겨울,비,저녁
